country_code,platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
id,Shopee,758395205,get_category,101763,101044,Vests,Rompi,FALSE,
id,Shopee,758395205,get_category,101762,101044,Winter Outerwear,Pakaian Luar Musim Dingin,FALSE,
id,Shopee,758395205,get_category,101761,101044,Regular Jackets & Coats,Jaket & Mantel Biasa,FALSE,
id,Shopee,758395205,get_category,101043,100690,Tops,Atasan,TRUE,
id,Shopee,758395205,get_category,101760,101043,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101759,101043,Shirts,Shirts,FALSE,
id,Shopee,758395205,get_category,101758,101043,Polo Shirts,Kaus Polo,FALSE,
id,Shopee,758395205,get_category,101757,101043,T-shirts,Kaus / T-Shirt,FALSE,
id,Shopee,758395205,get_category,101042,100690,Swimwear,Pakaian Renang,FALSE,
id,Shopee,758395205,get_category,101041,100690,Sleepwear,Pakaian Tidur,FALSE,
id,Shopee,758395205,get_category,101040,100690,Underwear & Innerwear,Underwear & Innerwear,FALSE,
id,Shopee,758395205,get_category,101039,100690,Costumes,Kostum,FALSE,
id,Shopee,758395205,get_category,100689,100633,Baby & Kids Accessories,Baby & Kids Accessories,TRUE,
id,Shopee,758395205,get_category,101038,100689,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101037,100689,Earmuffs,Earmuffs,FALSE,
id,Shopee,758395205,get_category,101036,100689,Rain Gear,Rain Gear,TRUE,
id,Shopee,758395205,get_category,101756,101036,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101755,101036,Rain Boots,Sepatu Bot Hujan,FALSE,
id,Shopee,758395205,get_category,101754,101036,Raincoats,Raincoats,FALSE,
id,Shopee,758395205,get_category,101035,100689,Jewelry,Perhiasan,TRUE,
id,Shopee,758395205,get_category,101753,101035,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101752,101035,Rings,Cincin,FALSE,
id,Shopee,758395205,get_category,101751,101035,Necklaces,Kalung,FALSE,
id,Shopee,758395205,get_category,101750,101035,Earrings,Anting,FALSE,
id,Shopee,758395205,get_category,101749,101035,Bracelets,Gelang,FALSE,
id,Shopee,758395205,get_category,101034,100689,Watches,Jam Tangan,FALSE,
id,Shopee,758395205,get_category,101033,100689,Scarves,Scarves,FALSE,
id,Shopee,758395205,get_category,101032,100689,Socks,Kaos Kaki,FALSE,
id,Shopee,758395205,get_category,101031,100689,Belts,Ikat Pinggang,FALSE,
id,Shopee,758395205,get_category,101030,100689,Gloves,Sarung Tangan,FALSE,
id,Shopee,758395205,get_category,101029,100689,Hair Accessories,Aksesoris Rambut,FALSE,
id,Shopee,758395205,get_category,101028,100689,Eyewear,Kacamata,FALSE,
id,Shopee,758395205,get_category,101027,100689,Hats & Caps,Topi,FALSE,
